Zaman damgası,Film İsmi,Film Hakkında,Film İsmi (örnek),Film Hakkında (örnek),Film İsmi (örnek)
08.08.2022 15:45:46,Başlangıç,Başka insanların rüyalarının içine girip soygun yapmaya çalışan kişiler. Leonardo di caprio oynuyor.,,,
08.08.2022 15:50:27,Kara Şövalye,Christopher Nolan'ın batman serisinin bir filmi. Filmin ana kötüsü Joker. Batman ve Joker'in mücadelesini konu alıyor. ,,,
08.08.2022 16:11:50,Yedi,2 dedektif 7 günahı konu alarak cinayet işleyen bir adamı bulmaya çalışıyor. ,,,
08.08.2022 16:17:05,İlk Yenilmez: Kaptan Amerika,2. dünya savaşı döneminde orduya katılmak isteyen çelimsiz bir adamın birkaç deney ile süper askere ve süper kahramana dönüşmesi,,,
08.08.2022 16:18:52,Kaptan Amerika: Kış Askeri ,devam filmi olan bu filmde captain america yaklaşık 100 yıl sonra dondurulduğu buz kalıbından çıkarılıyor ve bir zamanlar en yakın dostu olan Bucky ile savaşıyor çünkü öldü sandığı Bucky ölmemiş Ruslar tarafından beyni yıkanmıştır. ,,,
08.08.2022 16:19:52,Kaptan Amerika: Kış Askeri,iron man ve captain americanın anlaşmazlıkları sonunda avengers grubunun ikiye bölünüp çatışmasını anlatan film,,,
08.08.2022 16:21:55,Iron Man,ünlü iş adamı tony stark kendi ürettiği silahların deneme atışlarını gözlemlerken teröristler tarafından vurulup yaralanır ve tutsak edildiği yerde kurtulmak için tasarladığı zırh ile kaçmayı başarır labına döndüğünde zırhını daha da geliştirir ve iron man olur,,,
08.08.2022 16:23:51,Iron Man 2 ,tony iron man olduğunu açıkladıktan sonra tüm gözler ona çevrilmiştir ve düşmanları artmıştır onu kıskananlar iron man zırhını kendileri de tasarlayarak iron mana kafa tutarlar fakat iron man bu sefer yalnız değildir ona yardım eden war machine de vardır,,,
08.08.2022 16:26:38,Iron Man 3,avengers ın new york savaşından sonra kendine gelemeyen tony bu sefer daha büyük bir sorunla karşı karşıyadır tony’i çok kıskanan başka bir iş adamı geliştirdiği aşıyla insanları iyileştirmek adı altında onları canlı bombaya çevirmektedir,,,
08.08.2022 16:27:31,Hızlı ve Öfkeli,Araba yarışı temalı aksiyon dolu bir film.,,,
